File Name,result0.01,result0.001,result0.01-2,result0.001-2
27ë²?1_Data_20240920_111142.csv,97.14621043,96.27101934,94.23418025,92.53456578
27ë²?2_Data_20240920_111904.csv,98.7151713,97.82584543,97.4041216,95.64733383
27ë²?3_Data_20240920_112614.csv,98.931181,98.0399091,97.84054937,96.07589017
27ë²?4_Data_20240920_113323.csv,98.08416491,97.20052378,96.12923114,94.39543739
27ë²?5_Data_20240920_114054.csv,98.57020291,97.68218306,97.11122628,95.3597212
27ë²?6_Data_20240921_141012.csv,99.25108752,98.35693358,98.48689111,96.71057444
27ë²?7_Data_20240921_141702.csv,97.14964201,96.27442001,94.24111346,92.54137394
28ë²?1_Data_20240920_132517.csv,96.65734973,95.78656279,93.2464821,91.56468182
28ë²?2_Data_20240920_133426.csv,97.86087517,96.97924567,95.67809474,93.95243772
28ë²?3_Data_20240920_134444.csv,98.18882071,97.30423674,96.34067858,94.60307115
28ë²?4_Data_20240920_135205.csv,98.47846125,97.59126791,96.9258707,95.1777087
28ë²?5_Data_20240920_135952.csv,95.64153129,94.77989588,91.19411425,89.54933062
28ë²?6_Data_20240921_154401.csv,97.4062773,96.52874327,94.75962148,93.05053012
28ë²?7-Data_20240921_155056.csv,96.83744926,95.96503981,93.61035667,91.92199352
29ë²?1_Data_20240920_145026.csv,96.91840642,96.04526762,93.77392317,92.08260993
29ë²?2_Data_20240920_145841.csv,98.65653356,97.76773596,97.28564943,95.53099844
29ë²?3_Data_20240920_150515.csv,96.39871492,95.53025803,92.72393422,91.05155865
29ë²?4_Data_20240920_151234.csv,94.13115837,93.28312992,88.14254446,86.55279917
29ë²?5_Data_20240920_152117.csv,94.12295691,93.27500234,88.12597416,86.53652773
29ë²?6_Data_20240921_160256.csv,97.01109864,96.13712477,93.96119928,92.26650831
29ë²?7_Data_20240921_161628.csv,98.46662983,97.57954307,96.90196638,95.15423553
2ë²?1_Data_20240910_201905.csv,97.4298447,96.55209835,94.80723725,93.09728708
2ë²?2_Data_20240910_202912.csv,97.19275342,96.31714303,94.3282161,92.62690559
2ë²?3_Data_20240910_203755.csv,93.07957333,92.24101862,86.01791346,84.46648817
2ë²?4_Data_20240910_204633.csv,96.90349914,96.03049465,93.74380439,92.05303437
2ë²?5_Data_20240910_205445.csv,96.97169742,96.09807853,93.88159275,92.18833757
2ë²?6_Data_20240911_210343.csv,96.31897042,95.45123195,92.56281779,90.89334813
2ë²?7_Data_20240911_211106.csv,98.78537952,97.89542114,97.54597086,95.78662469
30ë²?1_Data_20240920_173347.csv,96.51975141,95.6502041,92.96847733,91.29169116
30ë²?2_Data_20240920_174131.csv,97.96436109,97.08179927,95.88717852,94.15775045
30ë²?3_Data_20240920_175024.csv,97.7450057,96.86442006,95.44399111,93.7225564
30ë²?4_Data_20240920_175842.csv,97.53545554,96.65675774,95.02061425,93.3068156
30ë²?5_Data_20240920_180624.csv,96.13277396,95.26671293,92.18662494,90.52394032
30ë²?6_Data_20240921_172801.csv,97.23240482,96.35643721,94.4083281,92.70557269
30ë²?7_Data_20240921_173405.csv,97.87384591,96.99209955,95.70430092,93.97817125
31ë²?1_Data_20240920_191218.csv,97.07870862,96.20412566,94.09779906,92.40064436
31ë²?2_Data_20240920_191925.csv,98.65312246,97.76435559,97.27875763,95.52423094
31ë²?3_Data_20240920_192810.csv,96.8092954,95.93713959,93.55347438,91.86613717
31ë²?4_Data_20240920_193542.csv,98.81679109,97.92654973,97.60943507,95.84894426
31ë²?5_Data_20240920_194218.csv,97.36163606,96.4845042,94.66942795,92.96196332
31ë²?6_Data_20240921_200045.csv,98.11579172,97.23186567,96.1931302,94.45818397
31ë²?7_Data_20240921_200735.csv,97.99910069,97.11622591,95.9573667,94.22667271
32ë²?1_Data_20240921_132550.csv,96.18639118,95.31984712,92.29495361,90.63031517
32ë²?2_Data_20240921_133909.csv,96.55950338,95.68959794,93.04879254,91.3705578
32ë²?3_Data_20240921_134634.csv,97.95826282,97.07575595,95.87485754,94.14565169
32ë²?4_Data_20240921_135239.csv,98.4287334,97.54198806,96.82540014,95.07905024
32ë²?5_Data_20240921_135946.csv,97.39161946,96.51421748,94.73000666,93.02144943
32ë²?6_Data_20240923_100314.csv,98.17437189,97.28991809,96.31148606,94.57440515
32ë²?7_Data_20240923_100949.csv,97.38312651,96.50580105,94.71284744,93.00459969
33ë²?1_Data_20240921_145536.csv,95.06044276,94.20404238,90.02007823,88.39646961
33ë²?2_Data_20240921_150954.csv,97.20491715,96.32919717,94.35279179,92.65103803
33ë²?3_Data_20240921_151930.csv,96.76052607,95.88880962,93.45494042,91.76938038
33ë²?4_Data_20240921_152629.csv,95.4321435,94.57239446,90.77106544,89.13391195
33ë²?5_Data_20240921_153333.csv,94.93023326,94.07500594,89.7570019,88.13813814
33ë²?6_Data_20240923_110954.csv,97.62815271,96.74861981,95.20790038,93.49072382
33ë²?7_Data_20240923_111726.csv,98.56846724,97.68046303,97.10771953,95.3562777
